T0=1,T0=5,T0=10,T0=20,T0=50,T0=100
7686.565308693826,7428.9067818643625,8048.9165216695665,10016.855222895541,16607.523209535808,23017.859882802342
7635.972200555989,8069.169116617668,7970.2433351332975,10000.70134597308,16856.72714545709,23284.7518849623
8013.790624187516,8245.315173696526,8140.658646827063,9974.0013399732,16489.660386792264,23048.15109697806
8060.791064178717,8285.158516829664,8645.808903821924,10177.829583408331,16788.62636747265,23172.693346133077
7655.234115317694,8207.012099758005,8196.7485250295,9788.94812103758,16425.247295054098,23172.72582548349
8234.010499790003,8069.836163276735,8427.835263294734,10001.591308173836,16744.19595608088,23148.10565788684
7854.434631307374,7540.1721365572685,8248.065358692826,9960.870222595548,16219.304753904922,23093.502649947
7633.047939041219,8196.015779684407,8690.79926401472,9861.443451130977,16500.44733105338,23125.064958700827
7448.509229815404,7782.912541749165,8351.040919181616,9809.478350432992,16565.041799164017,23130.98330033399
7800.602047959041,7950.286894262114,8580.79970400592,10068.588788224235,16401.02349953001,23173.766184676308
7612.522169556609,8097.0993380132395,7909.691146177076,9943.969840603188,16677.637747245055,23148.47121057579
8069.22493550129,7965.3063138737225,8446.557988840223,10255.932741345174,16849.132037359253,22965.416231675368
7498.223815523689,8095.383252334953,8198.143677126458,10000.37465250695,16577.312973740525,23134.15337693246
7632.921201575969,8094.888862222756,8286.82510349793,9872.364012719745,16492.129297414052,23237.243035139298
8099.7511049779005,8051.27515449691,8424.5001899962,10017.467330653388,16262.034499310013,23250.72772544549
7908.011159776805,8026.110197796044,8423.680926381472,10185.444171116578,16508.993160136797,23243.65516689666
7959.516129677407,7835.589848203036,8039.2889942201155,10064.030379392412,16688.62690746185,23003.711365772684
7676.842683146337,7910.67518649627,8422.35157296854,10062.359952800944,16559.55132897342,23092.544489110216
7771.368512629748,7763.502349953001,8049.70090598188,10085.767564648708,16539.09623807524,23263.313673726527
8067.9638007239855,7687.892182156357,8139.307333853323,9838.462210755784,16496.64730705386,23159.733085338292
7692.920601587968,8121.1888162236755,8373.817243655127,9938.42375152497,16528.729225415493,23152.39371212576
7973.256294874102,7745.261274774504,8353.910381792364,9979.792624147518,16439.965720685585,23229.65790684186
7562.228975420491,7681.482670346593,8448.5003699926,10233.526629467411,16520.310713785726,23279.15715685686
7421.639127217456,7541.388652226956,8432.901581968361,10146.05219895602,16458.62666746665,23082.05295894082
7826.736865262695,7552.963920721586,8268.432291354173,10089.217355652887,16206.888722225556,23122.78016439671
7715.001119977601,7916.9483410331795,8397.139577208456,9987.486390272195,16362.275774484511,23331.310013799724
7916.878182436351,7779.349133017339,8195.087698246036,10127.588948221035,16764.708505829884,23131.32825343493
7968.4104517909645,7562.048239035219,8253.058378832424,10273.132097358053,16637.01967960641,23126.516829663407
7936.524469510609,7711.971700565989,8123.963340733186,9773.336913261735,16310.037939241216,22940.64906701866
7803.427431451371,7777.60062798744,8338.693406131877,10497.173096538068,16569.011039779205,22998.940401191976
